County,Year,Measurement_avg pm25
Hanson,2020,7.6049999999999995
Hanson,2021,8.105
Hanson,2022,7.405
Hanson,2023,7.205
Hanson,2024,6.205
Hardwick,2017,9.6
Hardwick,2018,9.1
Hardwick,2019,8.1
Hardwick,2020,7.5
Hardwick,2021,8.2
Hardwick,2022,7.7
Hardwick,2023,7.7
Hardwick,2024,7.1
Harvard,2017,10.4
Harvard,2018,9.6
Harvard,2019,8.6
Harvard,2020,8.1
Harvard,2021,8.7
Harvard,2022,8.2
Harvard,2023,8.1
Harvard,2024,7.6
Harwich,2017,7.186071428571427
Harwich,2018,7.186071428571427
Harwich,2019,6.486071428571428
Harwich,2020,6.086071428571428
Harwich,2021,6.386071428571428
Harwich,2022,5.786071428571428
Harwich,2023,5.686071428571428
Harwich,2024,5.086071428571428
Hatfield,2017,10.0
Hatfield,2018,9.3
Hatfield,2019,8.3
Hatfield,2020,7.8
Hatfield,2021,8.8
Hatfield,2022,8.0
Hatfield,2023,7.9
Hatfield,2024,7.6
Haverhill,2017,9.904464285714287
Haverhill,2018,8.904464285714287
Haverhill,2019,8.004464285714286
